gamma,re_phi_m,full_conv2_exponent,lambda_exact_interp,abs_gap_to_exact,seed_full_interp,seed_abs_gap_to_exact,delta_re_vs_seed,re43_minus_re46,im43_plus_im46,mean_im_mod_abs,physically_feasible
-4.015,1.4656243464091e-06,-0.6896079093756536,-0.6897206663866615,0.00011275701100788016,-1.834592948986115,1.1448722825994535,1.1449850396104615,-4.38933336904682e-09,-1.7123690456516267e-16,8.881784197001252e-16,True
-4.045,1.4725573165557814e-06,-0.6896079024426836,-0.6897117686602096,0.00010386621752600522,-1.8505208645145348,1.1608090958543253,1.1609129620718515,3.37418975355705e-10,-1.7997595159826426e-15,8.881784197001252e-16,True
-4.0649999999999995,1.4708692764028647e-06,-0.6896079041307237,-0.6897061495951959,9.824546447223526e-05,-1.8610642966662132,1.1713581470710173,1.1714563925354897,1.990250608091028e-09,4.7382327766903246e-15,2.220446049250313e-15,True
-4.085,1.4647984313923294e-06,-0.6896079102015686,-0.6897007683833676,9.285818179893823e-05,-1.8715460332648886,1.181845264881521,1.1819381230633201,-4.0483855547946736e-09,2.7180993709210005e-15,1.5543122344752192e-15,True
-4.115,1.4485901520784275e-06,-0.689607926409848,-0.6896931206937447,8.519428389663908e-05,-1.887150068617412,1.1974569479236674,1.1975421422075643,6.680465834788289e-09,3.866934081715185e-16,0.0,True
-4.135,1.433721508942813e-06,-0.6896079412784911,-0.6896882911659401,8.034988744898275e-05,-1.8974717985914427,1.2077835074255026,1.2078638573129516,-8.162574786631195e-09,-1.1977135605206538e-15,1.9984014443252818e-15,True
-4.175,1.3960579004055782e-06,-0.6896079789420997,-0.6896792375506483,7.125860854861887e-05,-1.9179150978747637,1.2282358603241152,1.2283071189326642,-1.0558154642996247e-08,-1.3925240216231977e-15,1.1102230246251565e-15,True
-4.235,1.3248446566248247e-06,-0.6896080501553434,-0.689667048552564,5.8998397220566545e-05,-1.948060354440549,1.258393305887985,1.2584523042852058,1.2976640745651245e-08,3.076640326802131e-15,1.5543122344752192e-15,True
-4.255,1.2983272014926528e-06,-0.6896080766727986,-0.6896633265829547,5.5249910156152104e-05,-1.9579651024739173,1.2683017758909627,1.268357025801119,1.3526664502687066e-08,1.5437027627663267e-16,8.881784197001252e-16,True
-4.275,1.2708185857768467e-06,-0.6896081041814143,-0.6896597636114283,5.165943001406159e-05,-1.9677959203679356,1.2781361567565073,1.2781878161865214,1.3969219533069635e-08,4.826722670097502e-16,2.220446049250313e-16,True
-4.305,1.228137679647301e-06,-0.6896081468623204,-0.6896547032719086,4.655640958817209e-05,-1.9824008092142373,1.2927461059423289,1.292792662351917,-1.4455043897341731e-08,1.3285516942070121e-15,1.1102230246251565e-15,True
-4.345,1.169494569255912e-06,-0.6896082055054308,-0.6896484549766307,4.024947119996014e-05,-2.0016037004448672,1.3119552454682366,1.3119954949394366,1.482074139385085e-08,2.085907687150895e-15,8.881784197001252e-16,True
-4.365,1.1397643785503815e-06,-0.6896082352356215,-0.6896455319347815,3.7296699159972135e-05,-2.011086563111208,1.3214410311764264,1.3214783278755866,-1.490176119203464e-08,4.2280953761440844e-17,0.0,True
-4.385,1.1099309425094335e-06,-0.6896082650690576,-0.6896427359167792,3.4470847721568276e-05,-2.0204887614413285,1.3308460255245493,1.3308804963722711,1.4924871409414823e-08,3.92262152484987e-16,8.881784197001252e-16,True
-4.405,1.0801033146381317e-06,-0.6896082948966854,-0.6896400619348743,3.1767038188856844e-05,-2.0298090998806435,1.3401690379457691,1.3402008049839582,1.4896753603018884e-08,3.613641130751684e-16,6.661338147750939e-16,True
-4.4350000000000005,1.035580249400238e-06,-0.6896083394197506,-0.6896362694176059,2.7929997855280497e-05,-2.04363352731934,1.353997257901734,1.3540251878995895,-1.4771652283361667e-08,-1.1017656185477912e-15,4.440892098500626e-16,True
-4.455,1.0061634095284795e-06,-0.6896083688365906,-0.6896338801480174,2.551131142680685e-05,-2.05274404522652,1.3631101650785027,1.3631356763899296,1.4640874899390249e-08,-4.459385924334803e-16,2.220446049250313e-16,True
-4.495,9.48272905005843e-07,-0.6896084267270951,-0.689629416365704,2.0989638608859273e-05,-2.0707060099085917,1.3810765935428877,1.3810975831814971,1.4286945692132207e-08,1.3708562546034154e-15,6.661338147750939e-16,True
