beta,Gamma,gamma,gamma_AS,region,lambda_abs_100,seed_re_phi,comp_re_phi,phi_pref_conv2,seed_full_exponent,comp_full_exponent,seed_error_full_minus_lambda,comp_error_full_minus_lambda,seed_residual_inf,comp_residual_inf,comp_certified
0.575,1.825,-1.825,1.8488281250000003,inside_abs_gamma_lt_gamma_AS,-0.6533157028269717,0.030714597038906444,0.026796174095797154,-0.689609375,-0.6588947779610935,-0.6628132009042028,-0.005579075134121814,-0.009497498077231104,3.7682219008410606e-15,5.329070518200751e-15,True
0.575,1.85,-1.85,1.8488281250000003,outside_abs_gamma_gt_gamma_AS,-0.6593611864380859,0.021147840480489677,0.022380954751518578,-0.689609375,-0.6684615345195103,-0.6672284202484814,-0.009100348081424348,-0.007867233810395446,4.440892098500626e-15,0.0,True
0.575,1.875,-1.875,1.8488281250000003,outside_abs_gamma_gt_gamma_AS,-0.6646034095133667,0.013721510658381675,0.01919293658690191,-0.689609375,-0.6758878643416183,-0.6704164384130981,-0.011284454828251578,-0.005813028899731343,4.094300213216723e-15,1.0658141036401503e-14,True
0.575,1.9,-1.9,1.8488281250000003,outside_abs_gamma_gt_gamma_AS,-0.6689667005206317,0.0053131537663109185,0.01660320900887502,-0.689609375,-0.684296221233689,-0.673006165991125,-0.015329520713057376,-0.004039465470493275,7.160723346098895e-15,1.1546319456101628e-14,True
0.575,1.95,-1.95,1.8488281250000003,outside_abs_gamma_gt_gamma_AS,-0.675302850477932,-0.012633872906586685,0.012573535826182702,-0.689609375,-0.7022432479065867,-0.6770358391738173,-0.026940397428654617,-0.0017329886958852292,9.155133597044474e-15,6.217248937900877e-15,True
0.575,2.0,-2.0,1.8488281250000003,outside_abs_gamma_gt_gamma_AS,-0.679385046827057,-0.03182375030420603,0.009591131938141984,-0.689609375,-0.721433125304206,-0.680018243061858,-0.042048078477148976,-0.000633196234800959,5.420799638382024e-15,8.881784197001252e-15,True
0.575,2.05,-2.05,1.8488281250000003,outside_abs_gamma_gt_gamma_AS,-0.6821657389060547,-0.052069379763035606,0.007334443188682704,-0.689609375,-0.7416787547630356,-0.6822749318113173,-0.05951301585698088,-0.00010919290526256731,1.553677691793345e-14,3.842317550768588e-14,True
0.575,2.1,-2.1,1.8488281250000003,outside_abs_gamma_gt_gamma_AS,-0.6841634982554791,-0.07324642809857362,0.005608894895954952,-0.689609375,-0.7628558030985736,-0.684000480104045,-0.07869230484309453,0.00016301815143404674,9.565974336450906e-15,5.495603971894525e-14,True
0.625,1.0,-1.0,1.873046875,inside_abs_gamma_lt_gamma_AS,-0.4693126567670133,0.2225707941884878,0.11249909202878183,-0.689609375,-0.46703858081151217,-0.5771102829712181,0.002274075955501109,-0.10779762620420485,1.0658141036401503e-14,8.43769498715119e-15,True
0.625,1.3,-1.3,1.873046875,inside_abs_gamma_lt_gamma_AS,-0.5083800277283913,0.18318779055762185,0.10060304114973795,-0.689609375,-0.5064215844423781,-0.589006333850262,0.001958443286013245,-0.08062630612187072,3.972054645195637e-15,1.0658141036401503e-14,True
0.625,1.5,-1.5,1.873046875,inside_abs_gamma_lt_gamma_AS,-0.5532470662929755,0.1378833420454877,0.08139815087300495,-0.689609375,-0.5517260329545123,-0.608211224126995,0.0015210333384632069,-0.054964157834019534,6.404745667978754e-15,3.9968028886505635e-15,True
0.625,1.6,-1.6,1.873046875,inside_abs_gamma_lt_gamma_AS,-0.5803445729311946,0.11032041182438679,0.06848591401471937,-0.689609375,-0.5792889631756132,-0.6211234609852806,0.0010556097555813881,-0.04077888805408603,5.420799638382024e-15,3.9968028886505635e-15,True
0.625,1.7,-1.7,1.873046875,inside_abs_gamma_lt_gamma_AS,-0.6097845413699742,0.07989177625437383,0.05339906800188676,-0.689609375,-0.6097175987456261,-0.6362103069981132,6.6942624348032e-05,-0.02642576562813903,1.0658141036401503e-14,7.105427357601002e-15,True
0.625,1.75,-1.75,1.873046875,inside_abs_gamma_lt_gamma_AS,-0.6249466507300467,0.063727499605569,0.04503616899439322,-0.689609375,-0.625881875394431,-0.6445732060056067,-0.0009352246643842266,-0.01962655527556001,9.607118501968132e-15,4.440892098500626e-15,True
0.625,1.8,-1.8,1.873046875,inside_abs_gamma_lt_gamma_AS,-0.6398131791834775,0.04702617778348639,0.03611117374823136,-0.689609375,-0.6425831972165136,-0.6534982012517686,-0.0027700180330361146,-0.013685022068291142,5.339468714465245e-15,8.560778214030466e-15,True
0.625,1.825,-1.825,1.873046875,inside_abs_gamma_lt_gamma_AS,-0.6468471557294457,0.03851032803303989,0.031427597463073775,-0.689609375,-0.6510990469669601,-0.6581817775369262,-0.004251891237514349,-0.01133462180748046,6.420970327771634e-14,7.993605777301127e-15,True
0.625,1.85,-1.85,1.873046875,inside_abs_gamma_lt_gamma_AS,-0.653386365997228,0.0299170895914469,0.026584512292038065,-0.689609375,-0.6596922854085531,-0.6630248627079619,-0.006305919411325078,-0.009638496710733913,4.189529226675416e-15,3.552713678800501e-15,True
0.625,1.875,-1.875,1.873046875,outside_abs_gamma_gt_gamma_AS,-0.6592403289932769,0.021296789013764972,0.022653453114984234,-0.689609375,-0.668312585986235,-0.6669559218850157,-0.009072256992958105,-0.007715592891738843,5.974609272684766e-15,0.0,True
0.625,1.9,-1.9,1.873046875,outside_abs_gamma_gt_gamma_AS,-0.6642635889194561,0.012841889817392538,0.019680245503386207,-0.689609375,-0.6767674851826074,-0.6699291294966138,-0.012503896263151293,-0.005665540577157624,8.926082647349967e-15,4.0745185003743245e-14,True
0.625,1.95,-1.95,1.873046875,outside_abs_gamma_gt_gamma_AS,-0.6717536625870631,-0.00449686269753613,0.015128643355688975,-0.689609375,-0.6941062376975361,-0.674480731644311,-0.02235257511047295,-0.002727069057247844,1.0841599276764049e-14,1.509903313490213e-14,True
0.625,2.0,-2.0,1.873046875,outside_abs_gamma_gt_gamma_AS,-0.6765886572850033,-0.023156801425858298,0.01176622381200998,-0.689609375,-0.7127661764258583,-0.67784315118799,-0.036177519140854986,-0.0012544939029867086,4.965068306494546e-15,7.105427357601002e-15,True
0.625,2.05,-2.05,1.873046875,outside_abs_gamma_gt_gamma_AS,-0.6798449267643033,-0.042916060660799005,0.009204159034908954,-0.689609375,-0.732525435660799,-0.6804052159650911,-0.05268050889649567,-0.0005602892007877669,2.4985476309026235e-14,5.329070518200751e-15,True
0.625,2.1,-2.1,1.873046875,outside_abs_gamma_gt_gamma_AS,-0.6821826928995084,-0.06363661978377788,0.007222275115573384,-0.689609375,-0.7532459947837779,-0.6823870998844266,-0.07106330188426946,-0.00020440698491819287,9.130651302278166e-15,1.4567271078746933e-13,True
